trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,16268.195800017565,8112.009099917486,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.3
2,39551.54859996401,4234.467400005087,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.3
3,48641.442500054836,19375.85229985416,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.3
4,72091.78799996153,4330.523600103334,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.3
5,80681.05709995143,19903.832900105044,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.3
6,104496.3940999005,4769.925700034946,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.349609375
7,112581.76529989578,16968.717199983075,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.3
8,132407.079000026,5873.089300002903,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.349609375
9,141333.07549986057,24583.04340019822,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
10,168638.10479990207,2696.8789000529796,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.34921875
11,175031.1223999597,10223.795800004154,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
12,188017.04509998672,13334.138999925926,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.349609375
13,203959.2828999739,4560.003099963069,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.39921874999999996
14,212554.02070004493,30084.30069987662,True,16,What is the name of the composer?,mozart,.\music\mozart_Adagio.ogg,0.3
15,246971.80359996855,5598.7794999964535,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.430078125
16,265185.432799859,2950.005300110206,True,16,What is the name of the composer?,mozart,.\music\mozart_Adagio.ogg,0.3
17,272035.0685999729,6510.438099969178,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.396875
18,282571.01870002225,10303.630199981853,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.349609375
19,300888.9540999662,7391.02920005098,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.4359375
20,311680.0428999122,2315.518000163138,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.343359375
21,322801.7967999913,4736.639299895614,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.39726562499999996
22,329547.2557998728,14565.17790001817,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.375
23,346114.52659987845,13695.711700012907,True,16,What is the name of the composer?,mozart,.\music\mozart_Adagio.ogg,0.300390625
24,362584.8254999146,9600.925300037488,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.48554687499999993
25,377863.6175999418,5068.997700000182,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.421875
26,384658.56519993395,7889.602400129661,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.51015625
27,398048.46729990095,8077.469500014558,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.375390625
28,408186.0418000724,3960.9650999773294,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.519140625
29,414944.50169987977,20953.920500120148,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.3
30,444707.6572999358,3274.2403000593185,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.52578125
31,450624.3999998551,inf,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.3
32,461192.9589000065,3706.590299960226,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.47148437499999996
33,466829.27719992585,2916.5952999610454,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.35546875
34,472240.20970007405,3209.6882998012006,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.575390625
35,478134.4802000094,3840.749899856746,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.4781249999999999
36,484022.63789996505,3344.333899905905,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6000000000000001
37,490206.4626000356,1747.4871999584138,True,16,What is the name of the composer?,mozart,.\music\mozart_Adagio.ogg,0.25078125000000007
38,494136.04100001976,2943.9601998310536,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6003906250000001
39,499329.53260000795,6773.884499911219,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.42499999999999993
40,508229.349500034,4261.091399937868,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.349609375
41,515040.7102999743,8918.30340004526,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.60078125
42,528242.98859993,5248.7137001007795,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.502734375
43,535921.7010999564,3116.419800091535,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.46210937499999993
44,541182.6947999652,3412.1485000941902,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6503906250000001
45,547589.97059986,3881.9043000694364,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.5093749999999999
46,553204.1555000469,2895.465799840167,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6875000000000001
47,558748.7852999475,6200.807699933648,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.39921874999999996
48,567258.9006999042,3431.5139001701027,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6964843750000002
49,573298.5872998834,3825.2122001722455,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.46328125
50,579048.2727999333,2979.558299994096,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7335937500000002
51,584368.7958000228,3601.6426000278443,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.558984375
52,589652.160000056,3622.4873999599367,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7394531250000002
53,595448.0614999775,3866.418299963698,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.5929687499999999
54,601393.5100999661,2988.116400083527,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7515625000000002
55,606490.929099964,inf,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.42460937499999996
56,617770.1371998992,2422.20010003075,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7511718750000003
57,622340.3711998835,3562.085499987006,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.5933593749999999
58,627582.7977999579,2635.6194000691175,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7601562500000002
59,632504.6913998667,4610.393200069666,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.46601562499999993
60,638965.4204999097,2093.662900151685,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7597656250000002
61,643851.1927998625,3448.1600001454353,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.64296875
62,648925.6992998999,2650.3842000383884,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7601562500000002
63,653951.2114999816,2926.7351999878883,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.6496093749999999
64,658506.5947000403,2230.3092998918146,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7347656250000002
65,662971.2522998452,6645.752600161359,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.44921875
66,672784.5117000397,3212.937399977818,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.6867187499999999
67,677698.1426998973,3057.259500026703,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7601562500000002
68,683016.7912000325,3028.805000009015,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.6871093749999999
69,690490.0884998497,2153.8848001509905,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.7410156250000002
70,695449.0757000167,3068.5219999868423,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.6968749999999998
71,700276.5983999707,2345.792300067842,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.339453125
72,706034.8453999031,2779.6424000989646,False,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.7339843749999998
