trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,12582.918799947947,8161.965799983591,True,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.3
2,23406.594399828464,1719.616899965331,True,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.3
3,29707.42299989797,6918.155699968338,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.3
4,40887.845299905166,1452.1482000127435,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.3
5,46491.33019987494,11465.355799999088,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.3
6,60839.74239998497,6837.385999970138,True,13,What is the name of the composer?,chopin,.\music\chopin_Chopin_Piano_Sonata_No.1.ogg,0.3
7,70979.40710000694,7569.423999870196,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.3
8,81187.02690000646,2422.034899936989,True,13,What is the name of the composer?,chopin,.\music\chopin_Chopin_Piano_Sonata_No.1.ogg,0.3
9,86234.70099992119,4706.408299971372,True,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.349609375
10,93209.82409990393,1442.839700030163,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.250390625
11,97247.61449988,6549.086200073361,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.3
12,107959.02669988573,1795.3331000171602,True,6,What is the name of the composer?,beethoven,.\music\beethoven_beethoven.ogg,0.3
13,113431.45089992322,1247.6965999230742,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.3
14,118210.00469988212,1026.661700103432,True,6,What is the name of the composer?,beethoven,.\music\beethoven_beethoven.ogg,0.3
15,122834.39319999889,6128.9956998080015,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.349609375
16,131604.9168999307,7729.598900070414,True,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.39921874999999996
17,142199.51009983197,2096.383900148794,True,13,What is the name of the composer?,chopin,.\music\chopin_Chopin_Piano_Sonata_No.1.ogg,0.250390625
18,147085.8685998246,3013.0435000173748,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.3
19,154533.76559983008,1717.541899997741,True,23,What is the name of the composer?,vivaldi,.\music\vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
20,162554.30620000698,inf,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.3
21,169543.28430001624,2342.7195998374373,True,23,What is the name of the composer?,vivaldi,.\music\vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
22,174473.14709983766,6226.675200043246,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.4488281249999999
23,184040.3141998686,2166.299300035462,False,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.349609375
24,189410.13899981044,1730.0141002051532,True,6,What is the name of the composer?,beethoven,.\music\beethoven_beethoven.ogg,0.250390625
25,194091.92629996687,5757.990799844265,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.39921874999999996
26,202740.28849997558,2859.9088999908417,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.4671875
27,208133.49229982123,13352.151600178331,True,20,What is the name of the composer?,mozart,.\music\mozart_requim.ogg,0.3
28,224638.0182998255,inf,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.349609375
29,233198.32500000484,inf,False,20,What is the name of the composer?,mozart,.\music\mozart_requim.ogg,0.3
30,257894.91509995423,10589.60899990052,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.43632812499999996
31,270675.01479992643,5417.503000004217,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.491796875
32,278368.43989999034,2109.916399931535,True,23,What is the name of the composer?,vivaldi,.\music\vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.250390625
33,283124.40430000424,2457.3725999798626,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.30000000000000004
34,288827.794799814,2102.3543002083898,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.34921875
35,297529.75989994593,5187.633099965751,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.4390624999999999
36,305082.67429983243,4451.656599994749,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.52578125
37,312455.20549989305,8338.424100074917,False,20,What is the name of the composer?,mozart,.\music\mozart_requim.ogg,0.349609375
38,327902.10939990357,10244.075000053272,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.550390625
39,340507.5966999866,13617.020099889487,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.46367187499999996
40,356473.4034999274,inf,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.5750000000000001
41,380492.221100023,13187.61649983935,False,20,What is the name of the composer?,mozart,.\music\mozart_requim.ogg,0.39609375
42,396213.0067998078,2973.6537002027035,True,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.5746093750000001
43,401913.6005998589,6257.2656001430005,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.51328125
44,410595.4292998649,1348.6327000427991,False,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.398828125
45,414294.3790999707,10316.455999854952,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.6242187500000002
46,425572.67089979723,inf,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.5378906250000001
47,434150.5351997912,inf,True,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.6410156250000002
48,439291.7956998572,inf,True,20,What is the name of the composer?,mozart,.\music\mozart_requim.ogg,0.398046875
49,460509.56649985164,5841.144300065935,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.6906250000000003
50,468531.58979979344,inf,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.5468750000000001
51,481146.04409993626,11492.181899957359,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.7027343750000002
52,494987.5950999558,1787.5014999881387,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.3984375
53,503012.3020999599,3281.4692000392824,False,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.7140625000000003
54,507257.2488998994,inf,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.5964843750000002
55,516640.4569998849,1639.1708001028746,True,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.7136718750000003
56,520161.131599918,4746.854200027883,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.6031250000000001
57,527047.2148999106,1706.4068000763655,True,2,What is the name of the composer?,bach,.\music\bach_Aria_Da_Capo.ogg,0.7078125000000003
