trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,10190.216570999837,24701.25414100039,False,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.3
2,40445.83942999998,3335.755206000613,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.3
3,45786.41301800053,23756.929605999176,False,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3
4,71421.07169600058,1198.1387699997867,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3
5,82918.84527000002,17104.003960001137,False,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.3
6,101012.47560600132,23871.1528979984,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.349609375
7,126327.60994000091,2166.9419769987144,True,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.3
8,129879.69633099965,4359.693248001349,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.349609375
9,136097.71495300083,17605.53658699972,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.3
10,154695.96398800059,6732.659421999415,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.39921874999999996
11,162814.2095100011,6253.984838998789,True,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.3
12,170919.20890300025,6683.689383000456,False,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3
13,178595.5469620003,9917.258911000303,False,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.39921874999999996
14,189927.32579900074,3012.7759280003374,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3
15,195456.5993560009,2995.024130999809,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.418359375
16,199957.01633400132,1983.6057919983286,True,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.250390625
17,203382.78689100116,9603.759514999168,False,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
18,213977.312807001,22099.03133399895,False,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.42460937499999996
19,237627.39477000106,inf,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
20,243839.06047100027,2983.1954229994153,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.349609375
21,248272.79750900017,2531.325322999677,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.415625
22,252178.35084600118,2085.293792999466,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.250390625
23,256100.03826700087,4417.03968100046,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.46171874999999996
24,262028.89299100026,5524.824764999736,False,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.3
25,268544.4709990006,5098.774088999606,False,17,What is the name of the composer?,vivaldi,./music/vivaldi_Variation_Arr._for_Piano_from_Concerto.ogg,0.3
26,274631.18942800065,2523.2686489998596,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.3
27,278990.75239800004,1048.4496820008499,True,17,What is the name of the composer?,vivaldi,./music/vivaldi_Variation_Arr._for_Piano_from_Concerto.ogg,0.3
28,282542.6060669997,3245.135350000055,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.48710937499999996
29,287382.79033100116,4490.590819999867,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.39140624999999996
30,293781.1648930001,2704.3760150009184,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.349609375
31,298220.73650400125,11161.930178999668,False,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
32,310373.941318001,inf,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.53046875
33,318925.6254810007,3781.7650500001037,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
34,324531.9155180005,3504.788497999427,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.427734375
35,331187.522274,3625.697733001318,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.536328125
36,337149.0016080006,5505.53813400073,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.39179687499999993
37,346316.1776140005,2700.5421339999884,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.287109375
