trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,7320.609582999168,33645.80204400045,False,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3
2,50113.45841799994,2468.858624999484,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3
3,56858.37883400018,2860.31625799842,True,11,What is the name of the composer?,vivaldi,./music/vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.3
4,62811.4914329999,1235.191613999632,True,11,What is the name of the composer?,vivaldi,./music/vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.3
5,66980.57473699919,2301.8247189993417,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
6,71728.51915299907,3240.1674579996325,True,18,What is the name of the composer?,bach,./music/bach_Aria_Da_Capo.ogg,0.3
7,77519.80973099853,32745.1820160004,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
8,112297.54290999881,3830.6041050000204,True,18,What is the name of the composer?,bach,./music/bach_Aria_Da_Capo.ogg,0.3
9,148001.35747499915,3230.0616970005794,True,11,What is the name of the composer?,vivaldi,./music/vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.318359375
10,154283.65265199862,2759.931510001479,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.27460937500000004
11,159858.29776399987,2383.6984339995834,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.250390625
12,163856.43439299928,inf,True,18,What is the name of the composer?,bach,./music/bach_Aria_Da_Capo.ogg,0.3316406249999999
13,168429.47809699946,2405.428889000148,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
14,180472.9041390001,1851.748072998802,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.3
15,217094.31961599877,3133.508971999603,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
16,224897.8015069988,1235.7880370000203,False,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.3
17,228377.97782899905,3213.9208230000804,True,11,What is the name of the composer?,vivaldi,./music/vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.31875
18,233990.25402999905,2211.198955999862,True,18,What is the name of the composer?,bach,./music/bach_Aria_Da_Capo.ogg,0.3265625
19,238331.22660199844,1836.5440890010796,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.3
20,243875.50416399972,1890.203835999273,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3
21,259823.15364699933,1705.4764349996112,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.3
22,269334.29186699865,2243.635250000865,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3
23,274167.98816099984,3506.667276998982,False,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.300390625
24,279970.28438799863,inf,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.337890625
25,286751.5779789992,1946.360039000865,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
26,295383.3873650001,1944.2213959991932,True,1,What is the name of the composer?,mozart,./music/mozart_fantasy.ogg,0.3
27,333195.67247799935,4906.386635000643,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
28,340669.1184859992,1868.2527220008196,True,1,What is the name of the composer?,mozart,./music/mozart_fantasy.ogg,0.3
29,345074.04257999954,3751.273214000277,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.349609375
30,351661.7118659997,2785.144467999984,False,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.349609375
