trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,13274.94716000001,11395.02987800006,True,19,What is the name of the composer?,beethoven,./music/beethoven_no_14_moonlight.ogg,0.3
2,34897.34242200211,3833.2412189993192,True,19,What is the name of the composer?,beethoven,./music/beethoven_no_14_moonlight.ogg,0.3
3,41703.63285100029,19042.04787799972,True,16,What is the name of the composer?,beethoven,./music/beethoven_beethoven.ogg,0.3
4,64129.15949700255,2169.9124400001892,True,16,What is the name of the composer?,beethoven,./music/beethoven_beethoven.ogg,0.3
5,68980.48905200267,12896.238049997919,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
6,91667.11609599952,2149.877682000806,True,19,What is the name of the composer?,beethoven,./music/beethoven_no_14_moonlight.ogg,0.250390625
7,96747.98296399968,1407.4279540000134,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
8,100610.54991400306,25965.729424999154,True,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.3
9,130971.52352500052,1531.9516620002105,True,16,What is the name of the composer?,beethoven,./music/beethoven_beethoven.ogg,0.250390625
10,135269.4523909995,1939.639033000276,True,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.3
11,139965.56385700023,23024.126635002176,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
12,166942.63856600082,1126.577286999236,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.250390625
13,170840.28574200056,3385.7451020012377,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
14,176781.37135200086,24437.948327999038,True,4,What is the name of the composer?,mozart,./music/mozart_Andente.ogg,0.3
15,211709.6573400013,2632.0922049999353,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.349609375
16,217392.0159469999,2879.650261002098,True,4,What is the name of the composer?,mozart,./music/mozart_Andente.ogg,0.3
17,222811.05779500285,inf,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.32539062499999993
18,234086.14579000277,24712.560932999622,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.3
19,261202.43222900172,2832.409963000857,True,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.365625
20,266618.2462430006,3779.0899829997215,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.3
21,278834.4085420031,4672.985837998567,True,4,What is the name of the composer?,mozart,./music/mozart_Andente.ogg,0.300390625
22,286709.18207100115,19688.13337699976,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.3
23,317100.22142700106,3607.890974999522,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3749999999999999
24,327709.2878799995,4570.20101300074,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.3
25,334611.4101370004,3602.6351590007544,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.349609375
26,343551.204839001,4273.051557000144,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.390234375
27,353529.7688339997,inf,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.4003906249999999
