trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,10327.638909999223,8024.787095000647,True,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.3
2,23309.920820000116,1834.0912530002242,True,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.3
3,27512.505775001046,13887.557576999825,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
4,47065.24398200054,2197.6130139992165,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
5,51645.930015001795,15557.733026998903,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
6,71004.6637710002,16557.242019000114,True,21,What is the name of the composer?,mozart,./music/mozart_requim.ogg,0.3
7,91200.11469000019,3477.8366300015477,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
8,97750.05273100032,1251.0466860003362,True,21,What is the name of the composer?,mozart,./music/mozart_requim.ogg,0.3
9,103615.61492799956,4204.5123360003345,True,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.349609375
10,109780.87545699964,2578.0895480020263,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.27460937500000004
11,114787.67815600077,5226.87515600046,True,22,What is the name of the composer?,vivaldi,./music/vivaldi_Allegro.ogg,0.3
12,124589.5605400001,13312.588482000137,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.3
13,141364.03950800013,2449.231427999621,True,22,What is the name of the composer?,vivaldi,./music/vivaldi_Allegro.ogg,0.3
14,146856.0064480007,3134.599810000509,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.3
15,154380.24574000156,2264.227776999178,True,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.30000000000000004
16,158812.32040300165,13015.962323999702,False,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.300390625
17,175676.1783590009,15571.368411001458,True,21,What is the name of the composer?,mozart,./music/mozart_requim.ogg,0.349609375
18,194169.66259100082,2545.3860859997803,True,22,What is the name of the composer?,vivaldi,./music/vivaldi_Allegro.ogg,0.250390625
19,200142.03931700104,5600.107613001455,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.349609375
20,209115.62420799964,14106.07659300149,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3
21,232247.9326419998,4086.3739010019344,False,21,What is the name of the composer?,mozart,./music/mozart_requim.ogg,0.39453125
22,242663.925492001,inf,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3
23,267700.7693480009,inf,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.39921874999999996
24,285105.1471970022,inf,False,21,What is the name of the composer?,mozart,./music/mozart_requim.ogg,0.394921875
25,310628.92727299914,4533.050100002612,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.43632812499999996
26,318769.23699100007,8044.139683999645,False,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.349609375
27,330073.4290830005,7232.066951000888,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.35
28,341458.0344060014,11362.79877600103,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.44218749999999996
29,355477.84117400076,4864.882677000482,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.30000000000000004
30,362948.9134460018,12469.690125999507,True,21,What is the name of the composer?,mozart,./music/mozart_requim.ogg,0.44453124999999993
31,378922.40512900025,inf,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.39609375
32,396813.2576900025,6595.012463996711,True,21,What is the name of the composer?,mozart,./music/mozart_requim.ogg,0.469140625
33,406160.88744599983,4280.923577000096,True,13,What is the name of the composer?,chopin,./music/chopin_CHOPIN _NOCTURNE_NO.20.ogg,0.4917968749999999
34,412914.3736340011,3495.055922001484,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.38164062499999996
35,419483.62616799935,inf,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.396484375
