trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,11226.121800020337,4462.156600086018,True,25,What is the name of the composer?,vivaldi,.\music\vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.3
2,21461.48920012638,1723.3660998754203,True,25,What is the name of the composer?,vivaldi,.\music\vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.3
3,27727.65120002441,4274.493200005963,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.3
4,39182.9027000349,1723.6622001510113,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.3
5,42956.33130008355,1938.5434999130666,True,13,What is the name of the composer?,chopin,.\music\chopin_Chopin_Piano_Sonata_No.1.ogg,0.3
6,58389.68570018187,3219.106299802661,True,11,What is the name of the composer?,chopin,.\music\chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.3
7,70903.5281999968,5922.896400094032,True,13,What is the name of the composer?,chopin,.\music\chopin_Chopin_Piano_Sonata_No.1.ogg,0.3
8,79205.36310016178,4887.218599906191,True,11,What is the name of the composer?,chopin,.\music\chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.3
9,86699.49600007385,inf,True,25,What is the name of the composer?,vivaldi,.\music\vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.349609375
10,93491.50700005703,2986.597999930382,False,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.349609375
11,98334.81120015495,3487.8252998460084,True,9,What is the name of the composer?,beethoven,.\music\beethoven_no_14_moonlight.ogg,0.3
12,111664.48020003736,4917.403200175613,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
13,121176.69640015811,4849.156699841842,True,9,What is the name of the composer?,beethoven,.\music\beethoven_no_14_moonlight.ogg,0.3
14,132398.55780010112,3654.700400074944,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
15,137940.52180019207,4696.004299912602,False,25,What is the name of the composer?,vivaldi,.\music\vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.39921874999999996
16,145410.2092999965,7299.927700078115,False,13,What is the name of the composer?,chopin,.\music\chopin_Chopin_Piano_Sonata_No.1.ogg,0.349609375
