trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,26934.772861000056,6955.495341999951,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.3
2,36617.812333000074,1305.854726000005,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.3
3,39764.73260700004,12705.559875000064,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.3
4,54940.219394,2196.88025999994,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.3
5,59003.261951000015,7290.573433999954,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
6,68058.42823500006,7920.287344999917,True,24,What is the name of the composer?,bach,./music/bach_Air_on_the_G_String.ogg,0.3
7,80743.89437700006,2727.308636999849,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
8,85215.95305100005,inf,True,24,What is the name of the composer?,bach,./music/bach_Air_on_the_G_String.ogg,0.3
9,92273.78860399994,2226.3900719999656,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.250390625
10,97511.543694,15138.380913,True,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.3
11,116041.81432399992,2904.502131000074,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.32148437499999993
12,120552.10679800007,4064.7554360000504,True,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.3
13,126791.07862199999,3291.577654000095,True,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.3
14,131906.12284999999,1978.125786999939,False,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.349609375
15,136158.62583500007,1556.921462999977,True,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.3
16,139900.93064300003,3400.839380999969,False,24,What is the name of the composer?,bach,./music/bach_Air_on_the_G_String.ogg,0.349609375
17,145435.352857,2249.9532570000156,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.3
18,149661.70012900012,8507.375427999912,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.3
19,163957.49227500006,1798.3521270000492,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.3
20,167727.1259680001,2410.7060100000235,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.3
21,171626.67717599994,inf,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.349609375
22,178964.98359299995,2731.0473219999985,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.36640625000000004
23,184749.48117300004,7458.685924000078,True,24,What is the name of the composer?,bach,./music/bach_Air_on_the_G_String.ogg,0.39921874999999996
24,193885.47062199996,1857.5608920000377,True,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.250390625
25,197320.98932899997,3702.9764290000603,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.32499999999999996
26,202566.8648159999,3367.649965000077,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
27,216382.1525830001,4641.041060999909,False,24,What is the name of the composer?,bach,./music/bach_Air_on_the_G_String.ogg,0.4488281249999999
28,224282.113449,3266.6728819999844,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
29,229249.47741799997,2204.415252000006,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.250390625
30,233350.9136,2453.145882999961,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.39921874999999996
31,237425.52985599992,3503.209765000065,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.349609375
32,242841.98954399995,5014.703980000137,True,24,What is the name of the composer?,bach,./music/bach_Air_on_the_G_String.ogg,0.47343749999999996
33,249642.46572699994,1651.5970709999674,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.362890625
34,254041.7638230001,3990.5299180000147,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
35,260242.95431299994,2260.025355000136,False,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.4371093749999999
36,264078.9283240001,1188.8559980000136,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
37,266978.2483470001,4798.5822569999145,True,24,What is the name of the composer?,bach,./music/bach_Air_on_the_G_String.ogg,0.47539062499999996
38,274217.5475690001,6728.649570000009,True,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.3
39,286795.275921,3314.8267789999954,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.349609375
40,292129.9557709999,3163.7969530002447,True,5,What is the name of the composer?,bach,./music/bach_Cello Suite No. 1.ogg,0.3
41,296857.3351699999,4682.3205380001455,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.365625
42,302969.65421300003,3346.9427429999923,True,14,What is the name of the composer?,beethoven,./music/beethoven_emperor.ogg,0.4492187499999999
43,308128.0342059999,4226.65213800018,True,24,What is the name of the composer?,bach,./music/bach_Air_on_the_G_String.ogg,0.525
