trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,9556.44980003126,2841.604499844834,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.3
2,15999.810900073498,1488.791499985382,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.3
3,19201.092300005257,1989.1136998776346,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.3
4,23354.866300011054,1781.2536999117583,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.3
5,27372.11379990913,3099.9430001247674,True,25,What is the name of the composer?,vivaldi,.\music\vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.3
6,32708.339100005105,2628.022799966857,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.3
7,41716.08579996973,2411.9820999912918,True,25,What is the name of the composer?,vivaldi,.\music\vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.3
8,47026.99059993029,3470.6699000671506,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.3
9,52587.460400070995,4346.724399831146,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.3
10,63106.85490001924,4713.090599980205,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.349609375
11,69357.94289992191,10907.96840004623,False,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.3
12,82573.5017999541,3356.1712000519037,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.349609375
13,88181.18639988825,6535.850000102073,True,20,What is the name of the composer?,mozart,.\music\mozart_requim.ogg,0.3
14,102223.77329994924,3197.6755000650883,True,25,What is the name of the composer?,vivaldi,.\music\vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.349609375
15,107752.24569998682,2676.5431999228895,True,20,What is the name of the composer?,mozart,.\music\mozart_requim.ogg,0.3
16,113043.96130004898,10960.28620004654,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.349609375
17,126204.76959994994,5548.706199973822,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.39921874999999996
18,133335.14479990117,inf,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.36250000000000004
19,147546.5732999146,3328.7071001250297,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.344140625
20,153267.78049999848,2246.7032000422478,True,25,What is the name of the composer?,vivaldi,.\music\vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.303125
21,158430.48710003495,1984.2876000329852,True,3,What is the name of the composer?,bach,.\music\bach_Cello Suite No. 1.ogg,0.398828125
22,163501.18010002188,3518.5207999311388,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.39921874999999996
23,169275.61319991946,4107.943300157785,False,20,What is the name of the composer?,mozart,.\music\mozart_requim.ogg,0.349609375
