trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,14554.552552999667,5550.4336430003605,False,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.3
2,26428.626549999535,3724.680930999966,True,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.3
3,33649.42945199982,5471.184486999846,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3
4,42023.71099900029,1783.6677859995689,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3
5,46652.11418299987,7476.731488999576,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.3
6,63549.86459700012,3870.6909739994444,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
7,73372.39505100023,3754.328558999987,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.3
8,81999.809121,3261.470204000041,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.3
9,87935.80173400005,2634.5379750000575,True,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.29414062499999993
10,95342.34544399987,2951.181202999578,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.324609375
11,100996.78607700026,3042.496198999288,True,1,What is the name of the composer?,mozart,./music/mozart_fantasy.ogg,0.3
12,113716.87001499959,2045.7694249998895,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.3
13,120386.31663100023,1840.6593219997303,True,1,What is the name of the composer?,mozart,./music/mozart_fantasy.ogg,0.3
14,125089.03761199964,2034.8253379997914,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.3
15,130258.00747299945,8338.389414000616,False,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.349609375
16,141409.65477000008,3520.976719999453,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.349609375
17,147631.51091799955,2457.677434000303,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3
18,154386.97227899957,1601.0478850002983,True,11,What is the name of the composer?,vivaldi,./music/vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.3
19,162299.69870999956,1504.265940000565,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3
20,166697.1583530003,1344.526823999331,True,11,What is the name of the composer?,vivaldi,./music/vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.3
21,170871.69939399973,2481.0607139997883,True,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.3125
22,176530.07355199952,2183.3007280001766,True,1,What is the name of the composer?,mozart,./music/mozart_fantasy.ogg,0.250390625
23,181718.61670199997,1997.6277599998866,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.250390625
24,186458.17896500012,4414.464466999547,False,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.39921874999999996
25,195889.47049099987,3653.070626999601,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.38125
26,201953.33347299948,3027.496674000751,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.3
27,212870.38176700025,2526.605826999934,False,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.349609375
28,221035.56200099958,2354.261633000511,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.3
29,225955.62432299994,4058.841191999818,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.42460937499999996
30,237239.47709099957,2390.267153999972,False,11,What is the name of the composer?,vivaldi,./music/vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.349609375
31,242401.10455600006,4983.302067999815,True,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.3437499999999999
32,250336.72848900006,3835.5448359998118,False,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.405859375
33,256947.84874800008,2554.5488269999623,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.35078125000000004
34,262333.6876839994,4654.542967000452,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.44921875
35,269503.52439000015,2248.7670329992543,True,16,What is the name of the composer?,beethoven,./music/beethoven_beethoven.ogg,0.3
36,274533.1369659998,1618.7318220000016,False,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.349609375
37,278689.84047399956,1525.0046450000373,True,16,What is the name of the composer?,beethoven,./music/beethoven_beethoven.ogg,0.3
38,282852.6301760003,1682.1123849995201,True,11,What is the name of the composer?,vivaldi,./music/vivaldi_Viola_d_amore_Concerto_in_A_Minor_RV_397_I_Vivace.ogg,0.30000000000000004
39,286941.2180979998,2564.4286260003573,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
40,294026.74412899977,2934.6964619999053,False,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.4296875
41,299241.26232199976,1626.600865000044,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
42,305536.29132399964,4629.268464999797,False,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.49882812499999996
43,315520.44812199986,2788.4343859995715,False,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.38164062499999984
44,321236.5885439995,3872.5177770002047,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.52421875
45,329598.55644599977,1410.1546029996825,False,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.39921874999999996
46,337967.682122,1961.4858459999668,False,16,What is the name of the composer?,beethoven,./music/beethoven_beethoven.ogg,0.349609375
47,342497.5742890001,6816.719274999748,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.546484375
48,354876.2001409996,3164.9088270005304,False,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.47929687499999996
49,360322.22810700024,4953.356312999851,False,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.349609375
50,368212.62383399974,7237.784312999749,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.571875
51,377891.957238,3197.972081999993,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.4332031249999999
52,383678.2714589999,9111.617325999774,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.50390625
53,395478.0403220002,7224.07515299978,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.6214843750000001
54,405408.21103799954,1712.604608000198,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3011718750000001
55,410246.54597399966,3476.1310889998567,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.6640625000000001
56,416115.98513599986,4236.348159000045,False,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.4312499999999998
57,422949.86303499993,4845.927766999928,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.6667968750000001
58,430820.6360909999,5159.148194999958,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.521484375
59,438327.28871699964,3388.346407999983,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.6734375
60,444245.5682009995,2789.4997880002484,True,16,What is the name of the composer?,beethoven,./music/beethoven_beethoven.ogg,0.32499999999999996
61,453058.08839400014,2236.4599739994737,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.4296874999999999
62,458835.7800019994,3120.1878910005908,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.6902343750000001
63,464627.4923350002,1906.0067689997377,False,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.39921874999999996
64,468801.89503200015,2809.392876999511,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.7148437500000001
65,476277.8196919999,inf,True,15,What is the name of the composer?,chopin,./music/chopin_Chopin_Piano_Sonata_No.1.ogg,0.4316406249999998
66,484477.6526229998,3197.1279230001965,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.7324218750000001
67,490407.04683999956,4966.269040000043,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.56953125
68,497877.9825439997,2846.894244000374,False,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.7328125000000001
69,503117.9582229997,3546.7012810004526,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.573828125
70,508881.3192790003,2661.760819999501,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.7410156250000001
71,514161.4818469998,4079.749665000243,False,8,What is the name of the composer?,chopin,./music/chopin_Fantasia_On_Polish_Airs.ogg,0.336328125
72,523466.74191199965,4419.6453840003815,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.7484375000000001
73,530246.384774,1787.4357629998121,False,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.414453125
74,534299.3086569995,2282.4864110007184,True,23,What is the name of the composer?,chopin,./music/chopin_Chopin FantaisiecImpromptu Op. 66.ogg,0.7480468750000001
75,539041.3059359998,3083.151875000098,True,10,What is the name of the composer?,mozart,./music/mozart_Allegro_con_brio.ogg,0.5750000000000001
76,544280.2737370003,inf,True,7,What is the name of the composer?,mozart,./music/mozart_Adagio.ogg,0.43398437499999987
