trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,8643.25631400061,4676.950433999082,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
2,21780.08655099984,2544.154065000839,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
3,45907.39625400056,3087.5088430002506,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3
4,66013.72744900073,804.5768550000503,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.3
5,72097.98881899951,2400.000949999594,True,2,What is the name of the composer?,bach,./music/bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.281640625
6,76074.80645500073,2063.267565999922,True,22,What is the name of the composer?,vivaldi,./music/vivaldi_Allegro.ogg,0.3
7,92960.88358199995,8605.84554200068,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.3
8,103165.94736300067,2293.3305189999373,True,22,What is the name of the composer?,vivaldi,./music/vivaldi_Allegro.ogg,0.3
9,107976.1174439991,2843.9371310014394,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.3
10,112453.89467899986,11533.249390000492,True,1,What is the name of the composer?,mozart,./music/mozart_fantasy.ogg,0.3
11,126074.83161100026,2091.546642999674,False,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.349609375
12,130759.47123900005,6112.810156000705,True,1,What is the name of the composer?,mozart,./music/mozart_fantasy.ogg,0.3
13,138964.8661320007,3356.5293559986167,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
14,145080.44418099962,3487.477370999841,True,6,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Summer_in_G_Minor.ogg,0.3
15,155844.1676750008,2472.0093959986116,True,3,What is the name of the composer?,chopin,./music/chopin_Frederic_Chopin_Impromptu_No._1.ogg,0.3
16,160195.84439999925,2290.984593000787,True,6,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Summer_in_G_Minor.ogg,0.3
17,164209.1870429995,6842.978579999879,True,22,What is the name of the composer?,vivaldi,./music/vivaldi_Allegro.ogg,0.349609375
18,173878.16557900078,6101.329664999852,True,9,What is the name of the composer?,bach,./music/bach_Sheep_may_safely_graze.ogg,0.349609375
19,181514.9938659997,2429.487973000505,True,25,What is the name of the composer?,beethoven,./music/beethoven_presto.ogg,0.32499999999999996
20,186429.6006530003,3462.2617450004327,True,1,What is the name of the composer?,mozart,./music/mozart_fantasy.ogg,0.349609375
21,192028.2370019995,3107.2323879998294,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.3
22,197294.87394900026,7992.833504998998,True,20,What is the name of the composer?,vivaldi,./music/vivaldi_The_Four_Seasons _Winter_in_F.ogg,0.3
23,218427.39398699996,4697.859941999923,True,12,What is the name of the composer?,beethoven,./music/beethoven_fur_elise.ogg,0.3
